In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the Asian is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Hispanic is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few Hispanic.
In Louisville, the Black is thriving, while there are few Black.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Hispanic is thriving, while there are few White.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the White is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the White is thriving, while there are few Black.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few White.
In Fresno, the White is thriving, while there are few Hispanic.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few Black.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the Hispanic is thriving, while there are few White.
