In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Hispanic is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the Hispanic is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Hispanic.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Black is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few White.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the White is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few White.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few Black.
