In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few White.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the White is thriving, while there are few Hispanic.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the Black is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few White.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Hispanic is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Hispanic.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Black is thriving, while there are few Hispanic.
In New Orleans, the Hispanic is thriving, while there are few Hispanic.
In Buffalo, the Black is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few Black.
In Tulsa, the Black is thriving, while there are few White.
In Fresno, the Black is thriving, while there are few Asian.
In Wichita, the Asian is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few Black.
In Aurora, the White is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the White is thriving, while there are few White.
