In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the White is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the White is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Black.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the Hispanic is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few White.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few White.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the White is thriving, while there are few Black.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few Asian.
In Wichita, the Black is thriving, while there are few Black.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the White is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Black.
