In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the White is thriving, while there are few Black.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the White is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the Asian is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few White.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few White.
In Portland, the White is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Asian is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few Black.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few White.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few Asian.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few White.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the White is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Black.
