In New York, the Asian is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the Hispanic is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Asian.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Hispanic.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the White is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few White.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few White.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few White.
In Fresno, the White is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Black.
