In New York, the White is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few White.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Asian is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few Hispanic.
In San Antonio, the Hispanic is thriving, while there are few Asian.
In San Diego, the Black is thriving, while there are few Black.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the Hispanic is thriving, while there are few Asian.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few White.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Black.
In Milwaukee, the Hispanic is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few Asian.
In Fresno, the White is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the White is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the White is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Black.
