In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the White is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few Asian.
In Memphis, the Hispanic is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few White.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Hispanic.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few Black.
