In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the Black is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Hispanic is thriving, while there are few Black.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the Asian is thriving, while there are few Black.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the Hispanic is thriving, while there are few Black.
In Hartford, the Hispanic is thriving, while there are few Asian.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few Asian.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Black.
