In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few White.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few White.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few White.
In Detroit, the White is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few White.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few Hispanic.
In Seattle, the Asian is thriving, while there are few Hispanic.
In Denver, the White is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the Asian is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few Hispanic.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Hispanic is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Hispanic is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few White.
