In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Hispanic is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Hispanic is thriving, while there are few Asian.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the Hispanic is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few White.
In Nashville, the White is thriving, while there are few Asian.
In Milwaukee, the Hispanic is thriving, while there are few Black.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few White.
In Las Vegas, the Asian is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Asian.
In Tucson, the Asian is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few White.
In Aurora, the White is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
