In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few White.
In Chicago, the White is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the Hispanic is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few White.
In Columbus, the Asian is thriving, while there are few Hispanic.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few White.
In Nashville, the Asian is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few Hispanic.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few White.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the Asian is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few White.
