In New York, the Black is thriving, while there are few Hispanic.
In Los Angeles, the Asian is thriving, while there are few Hispanic.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few Hispanic.
In Philadelphia, the Asian is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few White.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few Black.
In Memphis, the White is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few White.
In Seattle, the Asian is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Black is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few Hispanic.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the Black is thriving, while there are few Black.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Hispanic is thriving, while there are few White.
In Grand Rapids, the Black is thriving, while there are few Asian.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
