In New York, the Black is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few White.
In Chicago, the White is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few Hispanic.
In Raleigh, the White is thriving, while there are few White.
In Richmond, the Hispanic is thriving, while there are few Black.
In Hartford, the White is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Black.
In Tulsa, the Hispanic is thriving, while there are few White.
In Fresno, the White is thriving, while there are few Hispanic.
In Wichita, the Black is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Black.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the White is thriving, while there are few White.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the Asian is thriving, while there are few White.
In Pittsburgh, the White is thriving, while there are few White.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few Asian.
