In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the Black is thriving, while there are few Black.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the White is thriving, while there are few Asian.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the Hispanic is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Hispanic.
In Hartford, the Asian is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few Hispanic.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the Asian is thriving, while there are few Black.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the White is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Asian.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
