In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few Black.
In Philadelphia, the Black is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Black.
In San Diego, the White is thriving, while there are few Asian.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Asian.
In Indianapolis, the Hispanic is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the Black is thriving, while there are few Asian.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few White.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few White.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Hispanic.
