In New York, the Hispanic is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the Black is thriving, while there are few Black.
In Columbus, the Black is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few Asian.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Asian.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Hispanic.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few White.
In Richmond, the Hispanic is thriving, while there are few Black.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few Black.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Black is thriving, while there are few Asian.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Black.
