In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the Asian is thriving, while there are few Hispanic.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the Hispanic is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the Black is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few Black.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Hispanic is thriving, while there are few Hispanic.
In Milwaukee, the Black is thriving, while there are few White.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few White.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Black.
