In New York, the White is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few White.
In Columbus, the Asian is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few Hispanic.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Asian is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few White.
In Aurora, the White is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Black is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the White is thriving, while there are few Black.
