In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few Black.
In Phoenix, the Hispanic is thriving, while there are few Hispanic.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the Black is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few Black.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the White is thriving, while there are few Hispanic.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the Asian is thriving, while there are few Hispanic.
In New Orleans, the Hispanic is thriving, while there are few Asian.
In Buffalo, the Black is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the White is thriving, while there are few Black.
In Fresno, the White is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the White is thriving, while there are few White.
