In New York, the Asian is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Hispanic is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few Hispanic.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the White is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Hispanic is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few Asian.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the Hispanic is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Black.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few White.
