In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the White is thriving, while there are few White.
In Nashville, the White is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few White.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few White.
In Tampa, the White is thriving, while there are few White.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the White is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
