In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Black.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few White.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few Asian.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few White.
In Fresno, the White is thriving, while there are few Hispanic.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the White is thriving, while there are few Hispanic.
