In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few White.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Hispanic is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Hispanic.
In Charlotte, the Hispanic is thriving, while there are few Asian.
In Memphis, the Black is thriving, while there are few Asian.
In Baltimore, the White is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the Asian is thriving, while there are few Black.
In Denver, the Asian is thriving, while there are few White.
In Nashville, the Hispanic is thriving, while there are few Black.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Asian is thriving, while there are few White.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the White is thriving, while there are few Black.
In Rochester, the Asian is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few White.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Hispanic.
