In New York, the White is thriving, while there are few White.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the White is thriving, while there are few Asian.
In Dallas, the Hispanic is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Black is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Black.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Hispanic is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the Asian is thriving, while there are few Hispanic.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few Black.
In Bakersfield, the Black is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Asian.
