In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the Hispanic is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the Black is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the Black is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few White.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Asian is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the White is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Asian is thriving, while there are few Black.
In Tulsa, the Asian is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few Hispanic.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the Asian is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Hispanic is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Black.
