In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few Asian.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Black.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few White.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the Hispanic is thriving, while there are few Black.
In Bakersfield, the Black is thriving, while there are few Black.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the Hispanic is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few Asian.
