In New York, the Black is thriving, while there are few Black.
In Los Angeles, the White is thriving, while there are few Hispanic.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the White is thriving, while there are few White.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Black.
In Austin, the Asian is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Black.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few Hispanic.
In Louisville, the Black is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the Hispanic is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few White.
