In New York, the White is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the Asian is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the White is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few White.
In Denver, the Asian is thriving, while there are few White.
In Nashville, the Asian is thriving, while there are few Black.
In Milwaukee, the Hispanic is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few White.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the White is thriving, while there are few White.
In Knoxville, the Asian is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few White.
