In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few White.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the Hispanic is thriving, while there are few Asian.
In Jacksonville, the White is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Asian.
In Memphis, the Black is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Black.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Black.
In Las Vegas, the White is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few White.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Hispanic is thriving, while there are few White.
In Richmond, the Hispanic is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Asian.
In Grand Rapids, the Hispanic is thriving, while there are few Black.
In Tucson, the Asian is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few White.
In Fresno, the Asian is thriving, while there are few White.
In Wichita, the White is thriving, while there are few Black.
In Albuquerque, the Asian is thriving, while there are few White.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the Hispanic is thriving, while there are few Asian.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the Black is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Asian.
