In New York, the Hispanic is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few White.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Hispanic is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the Black is thriving, while there are few White.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the Black is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the White is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few Asian.
