In New York, the Black is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few White.
In Charlotte, the Hispanic is thriving, while there are few Asian.
In Memphis, the Asian is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the White is thriving, while there are few White.
In Seattle, the Asian is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the White is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Black is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Hispanic.
