In New York, the Asian is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the Hispanic is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few Asian.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few Black.
In Milwaukee, the Hispanic is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few White.
In Oklahoma City, the White is thriving, while there are few Black.
In Las Vegas, the Hispanic is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Asian.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the White is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Hispanic.
In Rochester, the Asian is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Hispanic is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the White is thriving, while there are few Hispanic.
