In New York, the White is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the Hispanic is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the Black is thriving, while there are few Hispanic.
In Detroit, the Hispanic is thriving, while there are few Black.
In Jacksonville, the Asian is thriving, while there are few Asian.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few White.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Black.
In Nashville, the Hispanic is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the Asian is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few Black.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the Black is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few White.
