In New York, the White is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few Hispanic.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few Asian.
In Memphis, the White is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Black.
In Denver, the White is thriving, while there are few Hispanic.
In Nashville, the Hispanic is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Hispanic.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Black.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few Hispanic.
In Albuquerque, the Hispanic is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Hispanic is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the Asian is thriving, while there are few Asian.
