In New York, the Asian is thriving, while there are few Hispanic.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Hispanic.
In Houston, the White is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few Black.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few Hispanic.
In Austin, the Asian is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few White.
In Seattle, the White is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the White is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Hispanic.
In Louisville, the White is thriving, while there are few Hispanic.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few Hispanic.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few White.
