In New York, the White is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few Asian.
In Baltimore, the Black is thriving, while there are few White.
In Boston, the Hispanic is thriving, while there are few White.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few Hispanic.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few Black.
In Las Vegas, the Hispanic is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Hispanic.
In Hartford, the Asian is thriving, while there are few Black.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the White is thriving, while there are few White.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few White.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the White is thriving, while there are few Hispanic.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Asian is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few White.
