In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few White.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few White.
In Seattle, the Asian is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few White.
In Nashville, the Hispanic is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Hispanic.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few White.
In Grand Rapids, the Hispanic is thriving, while there are few White.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Hispanic is thriving, while there are few Black.
In Santa Ana, the Black is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few White.
