In New York, the White is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the Hispanic is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the Asian is thriving, while there are few White.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few White.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few Hispanic.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few White.
In Richmond, the White is thriving, while there are few Hispanic.
In Hartford, the Asian is thriving, while there are few Hispanic.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Asian is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the Hispanic is thriving, while there are few Black.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Hispanic.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the Asian is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Asian is thriving, while there are few Asian.
In Toledo, the Asian is thriving, while there are few Black.
