In New York, the White is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the Hispanic is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few Asian.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Hispanic is thriving, while there are few Hispanic.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the Asian is thriving, while there are few White.
In Columbus, the White is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few Black.
In Charlotte, the Hispanic is thriving, while there are few Asian.
In Memphis, the White is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few Hispanic.
In Nashville, the White is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few White.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Asian.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few Black.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the White is thriving, while there are few Black.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few Hispanic.
In Cincinnati, the Black is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Black is thriving, while there are few Hispanic.
