In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few White.
In San Diego, the Hispanic is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few White.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the White is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Black.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the White is thriving, while there are few Black.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Black is thriving, while there are few Asian.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the Asian is thriving, while there are few White.
In Grand Rapids, the Hispanic is thriving, while there are few Hispanic.
In Tucson, the Black is thriving, while there are few White.
In Tulsa, the White is thriving, while there are few Asian.
In Fresno, the White is thriving, while there are few White.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Black.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Asian is thriving, while there are few Hispanic.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few White.
In Cincinnati, the Black is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Black.
