In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Hispanic.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few Black.
In San Antonio, the Hispanic is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the Black is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Black is thriving, while there are few Hispanic.
In Denver, the Black is thriving, while there are few White.
In Nashville, the White is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Asian.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the Black is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Asian is thriving, while there are few White.
In Aurora, the Hispanic is thriving, while there are few Asian.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the Asian is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Asian.
