In New York, the White is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few White.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Hispanic is thriving, while there are few White.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Hispanic is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few Asian.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Asian is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few White.
In Seattle, the Hispanic is thriving, while there are few White.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Black.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Hispanic is thriving, while there are few White.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Asian.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the Black is thriving, while there are few Black.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the Hispanic is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Hispanic.
In Wichita, the Black is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few Hispanic.
In Aurora, the White is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Black is thriving, while there are few Asian.
