In New York, the Asian is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few Black.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few Hispanic.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few White.
In Indianapolis, the Black is thriving, while there are few Hispanic.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Asian is thriving, while there are few Hispanic.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Asian is thriving, while there are few Hispanic.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the Black is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the Black is thriving, while there are few Black.
In Las Vegas, the Hispanic is thriving, while there are few Asian.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Black.
In Hartford, the White is thriving, while there are few White.
In New Orleans, the Hispanic is thriving, while there are few White.
In Buffalo, the Black is thriving, while there are few White.
In Rochester, the Black is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few White.
In Fresno, the Black is thriving, while there are few White.
In Wichita, the Black is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few Hispanic.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Black.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Hispanic.
In Anchorage, the Black is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few Black.
