In New York, the Asian is thriving, while there are few Black.
In Los Angeles, the Hispanic is thriving, while there are few Hispanic.
In Chicago, the Hispanic is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few Black.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Hispanic.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Black is thriving, while there are few Asian.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few White.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few Black.
In Nashville, the Black is thriving, while there are few White.
In Milwaukee, the Black is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few Asian.
In Oklahoma City, the Black is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Hispanic.
In Raleigh, the White is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Hispanic is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the Hispanic is thriving, while there are few White.
In Tulsa, the White is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few White.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few Black.
In Bakersfield, the Hispanic is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the Hispanic is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the Asian is thriving, while there are few Asian.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the Asian is thriving, while there are few Black.
