In New York, the Asian is thriving, while there are few White.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Asian is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few White.
In Columbus, the White is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few Hispanic.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few Hispanic.
In Birmingham, the Hispanic is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few Hispanic.
In Richmond, the Black is thriving, while there are few Black.
In Hartford, the Asian is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the Black is thriving, while there are few Black.
In Rochester, the White is thriving, while there are few Hispanic.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the Black is thriving, while there are few White.
In Tucson, the Hispanic is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Asian is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the White is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the Black is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few Hispanic.
