In New York, the Asian is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few Hispanic.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few Black.
In Philadelphia, the Asian is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few White.
In Columbus, the White is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Asian is thriving, while there are few White.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the Hispanic is thriving, while there are few Asian.
In Seattle, the White is thriving, while there are few Black.
In Denver, the White is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Black.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Black.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few Black.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Black.
In Grand Rapids, the Hispanic is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few Black.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Black is thriving, while there are few White.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the Asian is thriving, while there are few White.
In Santa Ana, the Hispanic is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Hispanic.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few Black.
