In New York, the Hispanic is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the Black is thriving, while there are few Black.
In Houston, the White is thriving, while there are few Asian.
In Phoenix, the White is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Hispanic is thriving, while there are few Black.
In Dallas, the Black is thriving, while there are few Asian.
In Detroit, the White is thriving, while there are few Black.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the White is thriving, while there are few White.
In Austin, the Asian is thriving, while there are few White.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Hispanic.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few Black.
In Milwaukee, the Black is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few Black.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few White.
In Buffalo, the Black is thriving, while there are few Asian.
In Rochester, the White is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few Hispanic.
In Fresno, the Asian is thriving, while there are few Hispanic.
In Wichita, the Hispanic is thriving, while there are few Black.
In Albuquerque, the Hispanic is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few Asian.
In Bakersfield, the Black is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few Black.
In Pittsburgh, the White is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
