In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Asian is thriving, while there are few Hispanic.
In Chicago, the White is thriving, while there are few White.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Asian is thriving, while there are few White.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Asian.
In San Diego, the White is thriving, while there are few Asian.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the Hispanic is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the White is thriving, while there are few White.
In Columbus, the Black is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Asian is thriving, while there are few Asian.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Asian.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few Hispanic.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the White is thriving, while there are few White.
In Las Vegas, the Asian is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Asian.
In New Orleans, the Black is thriving, while there are few Black.
In Buffalo, the Hispanic is thriving, while there are few Black.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Asian.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Asian is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Hispanic.
In Albuquerque, the White is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few White.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Asian.
In Pittsburgh, the White is thriving, while there are few Black.
In Cincinnati, the Black is thriving, while there are few White.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the Hispanic is thriving, while there are few White.
