In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the White is thriving, while there are few Black.
In Chicago, the Black is thriving, while there are few Hispanic.
In Houston, the Asian is thriving, while there are few Asian.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few Black.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few Hispanic.
In Detroit, the Hispanic is thriving, while there are few Black.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the Black is thriving, while there are few Black.
In Columbus, the Black is thriving, while there are few Hispanic.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the White is thriving, while there are few Black.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Black is thriving, while there are few Asian.
In Boston, the Hispanic is thriving, while there are few Black.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Hispanic.
In Nashville, the Hispanic is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few White.
In Portland, the White is thriving, while there are few White.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Asian is thriving, while there are few Hispanic.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Black.
In Richmond, the Asian is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the Black is thriving, while there are few White.
In Buffalo, the Asian is thriving, while there are few White.
In Rochester, the Asian is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Black.
In Grand Rapids, the Black is thriving, while there are few Hispanic.
In Tucson, the Asian is thriving, while there are few Black.
In Tulsa, the White is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the Hispanic is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few Hispanic.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the White is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Black is thriving, while there are few Asian.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Hispanic is thriving, while there are few Hispanic.
