In New York, the White is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few Hispanic.
In Philadelphia, the Asian is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Hispanic.
In Detroit, the White is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Hispanic.
In Indianapolis, the Asian is thriving, while there are few White.
In Columbus, the Hispanic is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Black is thriving, while there are few White.
In Denver, the White is thriving, while there are few White.
In Nashville, the Hispanic is thriving, while there are few Black.
In Milwaukee, the Black is thriving, while there are few White.
In Portland, the Asian is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Black is thriving, while there are few Black.
In Birmingham, the White is thriving, while there are few Black.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the Hispanic is thriving, while there are few White.
In Hartford, the White is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the Hispanic is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Black is thriving, while there are few Asian.
In Tucson, the Black is thriving, while there are few Black.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Hispanic.
In Wichita, the Black is thriving, while there are few Black.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few Asian.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Hispanic is thriving, while there are few White.
