In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the Black is thriving, while there are few Hispanic.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few White.
In Phoenix, the White is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few White.
In San Antonio, the Hispanic is thriving, while there are few Asian.
In San Diego, the Black is thriving, while there are few Hispanic.
In Dallas, the Hispanic is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few White.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Hispanic is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Asian is thriving, while there are few Hispanic.
In Baltimore, the Hispanic is thriving, while there are few Black.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few Hispanic.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Asian is thriving, while there are few Asian.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Black.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few White.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Hispanic is thriving, while there are few Asian.
In Fresno, the Black is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few Black.
In Albuquerque, the Hispanic is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few Black.
In Bakersfield, the Hispanic is thriving, while there are few White.
In Knoxville, the Hispanic is thriving, while there are few Black.
In Tampa, the White is thriving, while there are few Black.
In Aurora, the White is thriving, while there are few Asian.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the White is thriving, while there are few Asian.
In Cincinnati, the White is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few Hispanic.
In Toledo, the Black is thriving, while there are few Asian.
