In New York, the Asian is thriving, while there are few White.
In Los Angeles, the White is thriving, while there are few White.
In Chicago, the Asian is thriving, while there are few Hispanic.
In Houston, the Hispanic is thriving, while there are few Asian.
In Phoenix, the Hispanic is thriving, while there are few Black.
In Philadelphia, the White is thriving, while there are few Hispanic.
In San Antonio, the White is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few White.
In Detroit, the Asian is thriving, while there are few White.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the Asian is thriving, while there are few Hispanic.
In Columbus, the Black is thriving, while there are few Black.
In Austin, the White is thriving, while there are few Hispanic.
In Charlotte, the White is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few White.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the Black is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Black is thriving, while there are few Hispanic.
In Raleigh, the White is thriving, while there are few Hispanic.
In Richmond, the White is thriving, while there are few White.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few Asian.
In Rochester, the Asian is thriving, while there are few Asian.
In Salt Lake City, the Black is thriving, while there are few Black.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the White is thriving, while there are few Asian.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few Hispanic.
In Bakersfield, the White is thriving, while there are few Black.
In Knoxville, the Hispanic is thriving, while there are few Asian.
In Tampa, the Hispanic is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the Hispanic is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Asian.
In Anchorage, the Black is thriving, while there are few Asian.
In Toledo, the Black is thriving, while there are few White.
