In New York, the White is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Asian.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Hispanic is thriving, while there are few Hispanic.
In Philadelphia, the White is thriving, while there are few Black.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the Asian is thriving, while there are few White.
In Detroit, the White is thriving, while there are few White.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few White.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Asian.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few White.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few Hispanic.
In Nashville, the Asian is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Black.
In Portland, the White is thriving, while there are few White.
In Oklahoma City, the White is thriving, while there are few Hispanic.
In Las Vegas, the White is thriving, while there are few Black.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Black is thriving, while there are few Hispanic.
In Richmond, the Asian is thriving, while there are few Hispanic.
In Hartford, the White is thriving, while there are few Asian.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Black is thriving, while there are few Black.
In Rochester, the Asian is thriving, while there are few White.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the Asian is thriving, while there are few White.
In Tulsa, the Hispanic is thriving, while there are few Black.
In Fresno, the Asian is thriving, while there are few Hispanic.
In Wichita, the Hispanic is thriving, while there are few Asian.
In Albuquerque, the White is thriving, while there are few Asian.
In Omaha, the White is thriving, while there are few Black.
In Bakersfield, the White is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Hispanic is thriving, while there are few Black.
In Aurora, the Black is thriving, while there are few Black.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Black.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few White.
