In New York, the Black is thriving, while there are few Hispanic.
In Los Angeles, the Asian is thriving, while there are few White.
In Chicago, the Black is thriving, while there are few Asian.
In Houston, the Hispanic is thriving, while there are few Hispanic.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the Asian is thriving, while there are few Black.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the White is thriving, while there are few Black.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Black.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few Hispanic.
In Austin, the Black is thriving, while there are few White.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few White.
In Boston, the White is thriving, while there are few Black.
In Seattle, the Hispanic is thriving, while there are few White.
In Denver, the Hispanic is thriving, while there are few Hispanic.
In Nashville, the Hispanic is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the Black is thriving, while there are few White.
In Las Vegas, the Hispanic is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few Hispanic.
In Raleigh, the Black is thriving, while there are few Asian.
In Richmond, the Hispanic is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few Black.
In New Orleans, the Asian is thriving, while there are few Hispanic.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the Black is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Hispanic.
In Tulsa, the Hispanic is thriving, while there are few Black.
In Fresno, the White is thriving, while there are few White.
In Wichita, the Asian is thriving, while there are few Hispanic.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Black is thriving, while there are few Hispanic.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the Black is thriving, while there are few Black.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the White is thriving, while there are few Black.
In Santa Ana, the White is thriving, while there are few Asian.
In Pittsburgh, the Asian is thriving, while there are few Asian.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few Asian.
In Toledo, the White is thriving, while there are few Hispanic.
