In New York, the Asian is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few Hispanic.
In Chicago, the Hispanic is thriving, while there are few Hispanic.
In Houston, the Hispanic is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the Black is thriving, while there are few Asian.
In San Antonio, the Black is thriving, while there are few White.
In San Diego, the White is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Black.
In Indianapolis, the Black is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few White.
In Charlotte, the White is thriving, while there are few Asian.
In Memphis, the Black is thriving, while there are few Hispanic.
In Baltimore, the White is thriving, while there are few Black.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Black is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Asian.
In Oklahoma City, the Black is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few Black.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Black.
In Raleigh, the Hispanic is thriving, while there are few Asian.
In Richmond, the White is thriving, while there are few Hispanic.
In Hartford, the Hispanic is thriving, while there are few Hispanic.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few Black.
In Rochester, the Hispanic is thriving, while there are few Black.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few White.
In Tucson, the Black is thriving, while there are few Asian.
In Tulsa, the White is thriving, while there are few White.
In Fresno, the Black is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few Asian.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Black is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few Asian.
In Knoxville, the Asian is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the Hispanic is thriving, while there are few White.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Hispanic is thriving, while there are few Black.
In Cincinnati, the Asian is thriving, while there are few White.
In Anchorage, the Black is thriving, while there are few Hispanic.
In Toledo, the Asian is thriving, while there are few Black.
