In New York, the Hispanic is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the Black is thriving, while there are few White.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few Hispanic.
In Philadelphia, the Hispanic is thriving, while there are few Black.
In San Antonio, the White is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few White.
In Dallas, the White is thriving, while there are few White.
In Detroit, the White is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Black.
In Columbus, the Hispanic is thriving, while there are few Black.
In Austin, the White is thriving, while there are few Black.
In Charlotte, the Asian is thriving, while there are few White.
In Memphis, the Black is thriving, while there are few White.
In Baltimore, the Asian is thriving, while there are few White.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Asian is thriving, while there are few Asian.
In Denver, the Hispanic is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few White.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few Asian.
In Las Vegas, the Hispanic is thriving, while there are few Black.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Black is thriving, while there are few White.
In Raleigh, the White is thriving, while there are few White.
In Richmond, the White is thriving, while there are few White.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the Hispanic is thriving, while there are few Asian.
In Buffalo, the White is thriving, while there are few Hispanic.
In Rochester, the Asian is thriving, while there are few Hispanic.
In Salt Lake City, the Asian is thriving, while there are few Hispanic.
In Grand Rapids, the Black is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Black.
In Tulsa, the Asian is thriving, while there are few White.
In Fresno, the White is thriving, while there are few Hispanic.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the Asian is thriving, while there are few Hispanic.
In Omaha, the Asian is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Black is thriving, while there are few White.
In Aurora, the White is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Hispanic.
In Cincinnati, the White is thriving, while there are few Hispanic.
In Anchorage, the White is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Black.
