In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the Hispanic is thriving, while there are few Black.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the White is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few White.
In San Diego, the Black is thriving, while there are few Black.
In Dallas, the Hispanic is thriving, while there are few White.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the Hispanic is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few White.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few Black.
In Denver, the White is thriving, while there are few Asian.
In Nashville, the Black is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few Asian.
In Portland, the Asian is thriving, while there are few White.
In Oklahoma City, the Hispanic is thriving, while there are few White.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Asian is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few White.
In Raleigh, the Black is thriving, while there are few White.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the Asian is thriving, while there are few Hispanic.
In Rochester, the White is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the Hispanic is thriving, while there are few Black.
In Tulsa, the Hispanic is thriving, while there are few Black.
In Fresno, the Black is thriving, while there are few Hispanic.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few White.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the Hispanic is thriving, while there are few Hispanic.
In Tampa, the Black is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few Black.
In Pittsburgh, the Black is thriving, while there are few White.
In Cincinnati, the White is thriving, while there are few Black.
In Anchorage, the Hispanic is thriving, while there are few Black.
In Toledo, the White is thriving, while there are few White.
