In New York, the White is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Black is thriving, while there are few Hispanic.
In Phoenix, the Asian is thriving, while there are few Asian.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the Hispanic is thriving, while there are few Hispanic.
In Dallas, the Asian is thriving, while there are few Asian.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Hispanic is thriving, while there are few Asian.
In Austin, the Hispanic is thriving, while there are few Hispanic.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Asian.
In Baltimore, the Hispanic is thriving, while there are few Hispanic.
In Boston, the Asian is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Asian is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few White.
In Portland, the Black is thriving, while there are few Hispanic.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the Asian is thriving, while there are few Hispanic.
In Louisville, the White is thriving, while there are few White.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Asian is thriving, while there are few Asian.
In Richmond, the Black is thriving, while there are few White.
In Hartford, the Hispanic is thriving, while there are few Black.
In New Orleans, the White is thriving, while there are few Asian.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the Black is thriving, while there are few Asian.
In Salt Lake City, the Black is thriving, while there are few White.
In Grand Rapids, the White is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few White.
In Tulsa, the Asian is thriving, while there are few Black.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the White is thriving, while there are few Asian.
In Albuquerque, the Hispanic is thriving, while there are few White.
In Omaha, the Black is thriving, while there are few Black.
In Bakersfield, the Black is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the Hispanic is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few Black.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the White is thriving, while there are few Hispanic.
In Cincinnati, the Hispanic is thriving, while there are few Asian.
In Anchorage, the Hispanic is thriving, while there are few White.
In Toledo, the Hispanic is thriving, while there are few Asian.
