In New York, the Hispanic is thriving, while there are few Hispanic.
In Los Angeles, the Asian is thriving, while there are few Hispanic.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few Hispanic.
In Philadelphia, the Hispanic is thriving, while there are few Hispanic.
In San Antonio, the Black is thriving, while there are few Hispanic.
In San Diego, the Asian is thriving, while there are few Hispanic.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Hispanic is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Asian.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the Asian is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few White.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the White is thriving, while there are few Black.
In Denver, the Asian is thriving, while there are few Hispanic.
In Nashville, the White is thriving, while there are few Hispanic.
In Milwaukee, the White is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Black is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few White.
In Louisville, the Black is thriving, while there are few Asian.
In Birmingham, the White is thriving, while there are few White.
In Raleigh, the Asian is thriving, while there are few White.
In Richmond, the White is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Hispanic.
In New Orleans, the Hispanic is thriving, while there are few Hispanic.
In Buffalo, the White is thriving, while there are few White.
In Rochester, the White is thriving, while there are few Hispanic.
In Salt Lake City, the Black is thriving, while there are few Black.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the Black is thriving, while there are few Black.
In Tulsa, the Black is thriving, while there are few Hispanic.
In Fresno, the White is thriving, while there are few White.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few Hispanic.
In Omaha, the White is thriving, while there are few Hispanic.
In Bakersfield, the Asian is thriving, while there are few Black.
In Knoxville, the White is thriving, while there are few Asian.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the Asian is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few White.
In Pittsburgh, the Asian is thriving, while there are few Black.
In Cincinnati, the White is thriving, while there are few Asian.
In Anchorage, the Asian is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few White.
