In New York, the Asian is thriving, while there are few Asian.
In Los Angeles, the Black is thriving, while there are few Black.
In Chicago, the White is thriving, while there are few Black.
In Houston, the Asian is thriving, while there are few Hispanic.
In Phoenix, the White is thriving, while there are few White.
In Philadelphia, the Black is thriving, while there are few White.
In San Antonio, the Asian is thriving, while there are few Black.
In San Diego, the Asian is thriving, while there are few Asian.
In Dallas, the White is thriving, while there are few Asian.
In Detroit, the Asian is thriving, while there are few Asian.
In Jacksonville, the Hispanic is thriving, while there are few Hispanic.
In Indianapolis, the Hispanic is thriving, while there are few Hispanic.
In Columbus, the Asian is thriving, while there are few Black.
In Austin, the Black is thriving, while there are few Hispanic.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the White is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few Asian.
In Boston, the White is thriving, while there are few Asian.
In Seattle, the Asian is thriving, while there are few Black.
In Denver, the Black is thriving, while there are few Asian.
In Nashville, the Asian is thriving, while there are few Asian.
In Milwaukee, the White is thriving, while there are few Hispanic.
In Portland, the White is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Black.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Hispanic.
In Birmingham, the Hispanic is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the Hispanic is thriving, while there are few Black.
In Hartford, the Black is thriving, while there are few Black.
In New Orleans, the Black is thriving, while there are few Asian.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Hispanic.
In Grand Rapids, the Asian is thriving, while there are few Hispanic.
In Tucson, the White is thriving, while there are few Asian.
In Tulsa, the Black is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Black is thriving, while there are few Asian.
In Albuquerque, the Asian is thriving, while there are few Asian.
In Omaha, the Hispanic is thriving, while there are few Black.
In Bakersfield, the Asian is thriving, while there are few Hispanic.
In Knoxville, the White is thriving, while there are few White.
In Tampa, the Black is thriving, while there are few Asian.
In Aurora, the Black is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few Hispanic.
In Pittsburgh, the Asian is thriving, while there are few White.
In Cincinnati, the Asian is thriving, while there are few Black.
In Anchorage, the Black is thriving, while there are few White.
In Toledo, the Black is thriving, while there are few Black.
