In New York, the Black is thriving, while there are few Asian.
In Los Angeles, the White is thriving, while there are few Asian.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the White is thriving, while there are few Black.
In Phoenix, the Asian is thriving, while there are few White.
In Philadelphia, the Asian is thriving, while there are few White.
In San Antonio, the White is thriving, while there are few Black.
In San Diego, the Black is thriving, while there are few White.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few White.
In Jacksonville, the Black is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few Asian.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Black is thriving, while there are few Asian.
In Charlotte, the Hispanic is thriving, while there are few White.
In Memphis, the Asian is thriving, while there are few Black.
In Baltimore, the Hispanic is thriving, while there are few Asian.
In Boston, the Asian is thriving, while there are few White.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the Hispanic is thriving, while there are few Black.
In Nashville, the Hispanic is thriving, while there are few Hispanic.
In Milwaukee, the Asian is thriving, while there are few White.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the White is thriving, while there are few Hispanic.
In Las Vegas, the Black is thriving, while there are few Asian.
In Louisville, the Asian is thriving, while there are few Asian.
In Birmingham, the Hispanic is thriving, while there are few Hispanic.
In Raleigh, the White is thriving, while there are few Asian.
In Richmond, the Asian is thriving, while there are few Asian.
In Hartford, the Asian is thriving, while there are few White.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the White is thriving, while there are few Asian.
In Rochester, the White is thriving, while there are few White.
In Salt Lake City, the Hispanic is thriving, while there are few Black.
In Grand Rapids, the White is thriving, while there are few Black.
In Tucson, the Asian is thriving, while there are few Black.
In Tulsa, the Black is thriving, while there are few White.
In Fresno, the Asian is thriving, while there are few Asian.
In Wichita, the Hispanic is thriving, while there are few Black.
In Albuquerque, the Hispanic is thriving, while there are few Hispanic.
In Omaha, the Hispanic is thriving, while there are few Black.
In Bakersfield, the Black is thriving, while there are few Asian.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the Asian is thriving, while there are few Black.
In Aurora, the White is thriving, while there are few White.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Hispanic is thriving, while there are few Hispanic.
In Cincinnati, the Black is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few Hispanic.
