In New York, the Black is thriving, while there are few Black.
In Los Angeles, the Asian is thriving, while there are few Asian.
In Chicago, the Asian is thriving, while there are few Asian.
In Houston, the Asian is thriving, while there are few White.
In Phoenix, the Black is thriving, while there are few Black.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the White is thriving, while there are few Asian.
In San Diego, the Hispanic is thriving, while there are few White.
In Dallas, the White is thriving, while there are few Black.
In Detroit, the Hispanic is thriving, while there are few Asian.
In Jacksonville, the Asian is thriving, while there are few Black.
In Indianapolis, the White is thriving, while there are few Black.
In Columbus, the Black is thriving, while there are few White.
In Austin, the Black is thriving, while there are few Hispanic.
In Charlotte, the Black is thriving, while there are few Hispanic.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the White is thriving, while there are few Hispanic.
In Boston, the Black is thriving, while there are few Hispanic.
In Seattle, the Asian is thriving, while there are few White.
In Denver, the White is thriving, while there are few White.
In Nashville, the Black is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the Hispanic is thriving, while there are few Black.
In Oklahoma City, the Asian is thriving, while there are few Asian.
In Las Vegas, the White is thriving, while there are few White.
In Louisville, the Hispanic is thriving, while there are few Hispanic.
In Birmingham, the Asian is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few Black.
In Richmond, the Black is thriving, while there are few Hispanic.
In Hartford, the Black is thriving, while there are few Asian.
In New Orleans, the Asian is thriving, while there are few White.
In Buffalo, the Hispanic is thriving, while there are few White.
In Rochester, the Asian is thriving, while there are few Black.
In Salt Lake City, the Hispanic is thriving, while there are few Hispanic.
In Grand Rapids, the Black is thriving, while there are few Asian.
In Tucson, the White is thriving, while there are few Hispanic.
In Tulsa, the White is thriving, while there are few Hispanic.
In Fresno, the Hispanic is thriving, while there are few Black.
In Wichita, the Asian is thriving, while there are few White.
In Albuquerque, the White is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the White is thriving, while there are few White.
In Knoxville, the White is thriving, while there are few Hispanic.
In Tampa, the Hispanic is thriving, while there are few Hispanic.
In Aurora, the Hispanic is thriving, while there are few Hispanic.
In Santa Ana, the White is thriving, while there are few Hispanic.
In Pittsburgh, the Black is thriving, while there are few Black.
In Cincinnati, the Hispanic is thriving, while there are few Hispanic.
In Anchorage, the Hispanic is thriving, while there are few Hispanic.
In Toledo, the White is thriving, while there are few Asian.
