In New York, the White is thriving, while there are few Black.
In Los Angeles, the Black is thriving, while there are few White.
In Chicago, the Hispanic is thriving, while there are few Asian.
In Houston, the Black is thriving, while there are few White.
In Phoenix, the Hispanic is thriving, while there are few White.
In Philadelphia, the Hispanic is thriving, while there are few Asian.
In San Antonio, the Asian is thriving, while there are few Hispanic.
In San Diego, the Black is thriving, while there are few White.
In Dallas, the Black is thriving, while there are few Black.
In Detroit, the Black is thriving, while there are few Hispanic.
In Jacksonville, the White is thriving, while there are few White.
In Indianapolis, the Asian is thriving, while there are few Black.
In Columbus, the White is thriving, while there are few Hispanic.
In Austin, the White is thriving, while there are few Asian.
In Charlotte, the Black is thriving, while there are few White.
In Memphis, the Hispanic is thriving, while there are few Black.
In Baltimore, the Asian is thriving, while there are few Black.
In Boston, the White is thriving, while there are few Hispanic.
In Seattle, the Hispanic is thriving, while there are few White.
In Denver, the Asian is thriving, while there are few White.
In Nashville, the White is thriving, while there are few Asian.
In Milwaukee, the Asian is thriving, while there are few Asian.
In Portland, the White is thriving, while there are few Hispanic.
In Oklahoma City, the Hispanic is thriving, while there are few Hispanic.
In Las Vegas, the Hispanic is thriving, while there are few Hispanic.
In Louisville, the Hispanic is thriving, while there are few Black.
In Birmingham, the White is thriving, while there are few Asian.
In Raleigh, the Hispanic is thriving, while there are few Hispanic.
In Richmond, the Black is thriving, while there are few Asian.
In Hartford, the Black is thriving, while there are few White.
In New Orleans, the White is thriving, while there are few Black.
In Buffalo, the Black is thriving, while there are few Hispanic.
In Rochester, the White is thriving, while there are few Asian.
In Salt Lake City, the White is thriving, while there are few Asian.
In Grand Rapids, the Asian is thriving, while there are few Black.
In Tucson, the Asian is thriving, while there are few Asian.
In Tulsa, the Asian is thriving, while there are few Asian.
In Fresno, the Hispanic is thriving, while there are few White.
In Wichita, the White is thriving, while there are few White.
In Albuquerque, the Black is thriving, while there are few White.
In Omaha, the Hispanic is thriving, while there are few Asian.
In Bakersfield, the Hispanic is thriving, while there are few Asian.
In Knoxville, the Asian is thriving, while there are few Black.
In Tampa, the Asian is thriving, while there are few Asian.
In Aurora, the Asian is thriving, while there are few Asian.
In Santa Ana, the Hispanic is thriving, while there are few Black.
In Pittsburgh, the White is thriving, while there are few Hispanic.
In Cincinnati, the Asian is thriving, while there are few Black.
In Anchorage, the White is thriving, while there are few Black.
In Toledo, the Hispanic is thriving, while there are few Asian.
